Дата,Tемпература
21.05.2025,17
21.05.2025,21.3
21.05.2025,24.3
21.05.2025,24.9
21.05.2025,22.7
21.05.2025,18.2
21.05.2025,16.3
21.05.2025,18.4
20.05.2025,20.1
20.05.2025,21.5
20.05.2025,22.5
20.05.2025,21.9
20.05.2025,20.2
20.05.2025,15.3
20.05.2025,10.2
20.05.2025,11.8
19.05.2025,13.1
19.05.2025,17.3
19.05.2025,18.4
19.05.2025,17.6
19.05.2025,18.5
19.05.2025,13.3
19.05.2025,7.5
19.05.2025,9.2
18.05.2025,10.4
18.05.2025,11.5
18.05.2025,11
18.05.2025,11.6
18.05.2025,12.8
18.05.2025,13.4
18.05.2025,13.6
18.05.2025,14.8
17.05.2025,16.3
17.05.2025,19.9
17.05.2025,25.1
17.05.2025,26.3
17.05.2025,28
17.05.2025,24.5
17.05.2025,21.5
17.05.2025,22.4
16.05.2025,24.4
16.05.2025,27
16.05.2025,31.2
16.05.2025,32.1
16.05.2025,30.2
16.05.2025,24.5
16.05.2025,21.2
16.05.2025,25.9
15.05.2025,27.2
15.05.2025,31.3
15.05.2025,34.2
15.05.2025,34.3
15.05.2025,29.5
15.05.2025,21.5
15.05.2025,16.3
15.05.2025,19.3
